,id,제목,제안분야,제안시작,제안마감,투표수,제안인
0,280,행정기관 소속 위원회 위원 개인정보 및 안건 공개 기준에 관한 법적 근거 마련,일반행정,2019.10.16,2020.01.13,0,법제혁신
1,279,초과근무 줄이기!,일반행정,2019.10.16,2020.01.13,2,ㅁㄴㅁ
2,278,원스톱 의원요구자료 제출 시스템 구축,일반행정,2019.10.15,2020.01.12,0,연시랑
3,277,예산을 공평하게 분배,사회통합,2019.10.15,2020.01.12,3,슈퍼맨119
4,276,공무원 인트라넷 통합메신저,일반행정,2019.10.15,2020.01.12,0,페이소스
5,280,행정기관 소속 위원회 위원 개인정보 및 안건 공개 기준에 관한 법적 근거 마련,일반행정,2019.10.16,2020.01.13,0,법제혁신
6,279,초과근무 줄이기!,일반행정,2019.10.16,2020.01.13,2,ㅁㄴㅁ
7,278,원스톱 의원요구자료 제출 시스템 구축,일반행정,2019.10.15,2020.01.12,0,연시랑
8,277,예산을 공평하게 분배,사회통합,2019.10.15,2020.01.12,3,슈퍼맨119
9,276,공무원 인트라넷 통합메신저,일반행정,2019.10.15,2020.01.12,0,페이소스
10,275,임대아파트 이웃 주민들에게 피해를 주는 입주민에 대한 처벌 강화를 요구합니다.,공동체,2019.10.07,2020.01.04,6,범이찡
11,274,천차만별인 지역 유류가격을 지자체별로 저가 순위 주유소와 고가주유소를 공개하여 시민에게 저렴한 주유소를 알려 서민경제 부담을 줄여 주세요.,공동체,2019.10.03,2019.12.31,2,청류
12,272,행안부 생활공감정책추진단 제안에 대한 검토방식 개선,안전,2019.09.20,2019.12.18,9,주주단
13,271,주거형 오피스텔 차별 해소 필요,일반행정,2019.09.18,2019.12.16,4,vision
14,270,국민연금불입금담보대출,보건복지,2019.09.17,2019.12.15,6,인생2모작
