name,addr,tel
광주운남DT  ,광주광역시 광산구 임방울대로 156 (운남동),1522-3232
광주선운DT  ,광주광역시 광산구 선운로 20번길 63 ,1522-3232
광주산정DT  ,광주광역시 광산구 용아로 342 (산정동),1522-3232
광주흑석DT  ,광주광역시 광산구 사암로 367 (산정동),1522-3232
광주송정역  ,광주광역시 광산구 상무대로205번길 6 (송정동),1522-3232
광주수완DT  ,광주광역시 광산구 임방울대로 487 (수완동),1522-3232
광주신가DT  ,광주광역시 광산구 목련로 335 (신가동),1522-3232
광주쌍암  ,광주광역시 광산구 첨단중앙로 158 (쌍암동),1522-3232
광주장덕  ,광주광역시 광산구 장신로 85 (장덕동),1522-3232
광주하남  ,"광주광역시 광산구 사암로216번길 38-16, 1~2층 (우산동)",1522-3232
광주첨단  ,광주광역시 광산구 첨단중앙로 104 (월계동),1522-3232
광산수완  ,"광주광역시 광산구 장신로 134, 1~2층 (수완동)",1522-3232
광주월산DT  ,광주광역시 남구 대남대로 386,1522-3232
광주주월DT  ,광주광역시 남구 회재로 1256 (주월동),1522-3232
광주효천DT  ,"광주광역시 남구 임암동 141-3, 143-2",1522-3232
광주봉선로  ,광주광역시 남구 제석로 104 (봉선동),1522-3232
광주서문대로  ,광주광역시 남구 서문대로 665 (진월동),1522-3232
광주방림DT  ,광주광역시 남구 대남대로 67 (방림동),1522-3232
광주봉선중앙  ,광주광역시 남구 봉선중앙로 51 (봉선동),1522-3232
광주진월  ,광주광역시 남구 서문대로 745 (주월동),1522-3232
광주봉선  ,"광주광역시 남구 봉선로 176, 1층 101,111호 (봉선동)",1522-3232
광주지산DT  ,광주광역시 동구 필문대로 240,1522-3232
광주동명  ,광주광역시 동구 동명로 16 (동명동),1522-3232
광주지원DT  ,광주광역시 동구 남문로 529 (용산동),1522-3232
광주지산유원지입구  ,광주광역시 동구 무등로 592 (산수동),1522-3232
광주황금  ,광주광역시 동구 중앙로160번길 14 (황금동),1522-3232
광주무등산  ,광주광역시 동구 증심사길 16 (운림동),1522-3232
충장서림  ,광주광역시 동구 충장로 93-5 (금남로2가),1522-3232
광주충장로  ,광주광역시 동구 충장로 65 (충장로3가),1522-3232
충장일가  ,광주광역시 동구 서석로 43 (충장로1가),1522-3232
조선대  ,광주광역시 동구 지산로 3 (서석동),1522-3232
광주오치  ,광주광역시 북구 설죽로 314 (오치동),1522-3232
광주연제DT  ,광주광역시 북구 양일로18번길 2 (연제동),1522-3232
광주신안DT  ,광주광역시 북구 서암대로 93 (신안동),1522-3232
광주매곡DT  ,광주광역시 북구 설죽로 339 (매곡동),1522-3232
광주두암타운  ,광주광역시 북구 삼정로 4 (두암동),1522-3232
광주일곡  ,광주광역시 북구 설죽로 518 (일곡동),1522-3232
광주북구청  ,광주광역시 북구 서방로9번길 30 (중흥동),1522-3232
광주운암DT  ,광주광역시 북구 북문대로 78 (운암동),1522-3232
광주첨단신용  ,광주광역시 북구 첨단연신로 101 (신용동),1522-3232
광주용두DT  ,광주광역시 북구 임방울대로 1016 (신용동),1522-3232
전남대  ,"광주광역시 북구 우치로 110, 1,2,3층 (용봉동)",1522-3232
광주용봉  ,광주광역시 북구 저불로 45 (용봉동),1522-3232
광주신세계DT  ,광주광역시 서구 죽봉대로 33 (화정동),1522-3232
광주상무DT  ,광주광역시 서구 상무대로 847 (쌍촌동),1522-3232
광주화정DT  ,광주광역시 서구 상무대로 1080,1522-3232
광주상무중앙로  ,광주광역시 서구 상무중앙로 46 (치평동) 1층,1522-3232
광주상무시민로  ,광주광역시 서구 운천로 253 (치평동) 103호,1522-3232
광주풍암  ,광주광역시 서구 풍암2로 8 (풍암동) 한아름빌딩,1522-3232
광주금호DT  ,광주광역시 서구 운천로 107 (쌍촌동),1522-3232
광주상무대교  ,"광주광역시 서구 상무중앙로 90, 눈높이상무센터 1층 (치평동)",1522-3232
광주동림  ,"광주광역시 서구 하남대로 672-1, 1층 (동천동)",1522-3232
신세계광주  ,광주광역시 서구 무진대로 932 번지 신세계 백화점 1층,1522-3232
광주상무  ,광주광역시 서구 상무중앙로 75 (치평동),1522-3232
상무치평  ,"광주광역시 서구 상무자유로 173, 1층 (치평동)",1522-3232
상무역  ,"광주광역시 서구 상무중앙로 7, 1층 (치평동)",1522-3232
신세계광주신관B1  ,"광주광역시 서구 죽봉대로 61, 패션스트리트 B01호 (화정동)",1522-3232
